month,Kaitaia,Auckland,Tauranga,Hamilton,Rotorua,Wellington,Mt Cook,Milford Sound,Dunedin
Jan,82,73.3,76,76.3,92.7,75.7,457.5,722,72.9
Feb,92.5,66.1,86.6,68.7,93.9,69.8,278.4,454.7,67.8
Mar,82,87.3,92.7,79.4,99.2,87.1,417.9,595.1,64
Apr,97.7,99.4,120.9,80.3,107.2,83.6,363,533.2,50.9
May,131.9,112.6,105.7,99.7,116.9,112.9,357.1,596.6,64.7
Jun,149.1,126.4,115.7,113.2,136.1,132.8,314.5,487.1,57.9
Jul,165.4,145.1,127.4,118.2,134.5,305.2,121.8,423.7,57.1
Aug,140,118.4,112.3,103.4,131.4,121.3,313.4,463.5,55.7
Sep,126.7,105.1,87.6,91.5,109.3,101.2,297.4,551.4,48.3
Oct,97.8,100.2,90.4,91.9,112.3,100.8,478.9,640.3,61.7
Nov,86.2,85.8,75.3,85,93.8,120.8,414.2,548,56.4
Dec,99.6,92.8,90.3,100.7,114.2,84.4,487.2,700.1,80.2